NAME,TYPE,STATUS,RATING,PHONE NO.,ADDRESS,LINK
PC MART,Computer service,Not Specified,4.9,063825 51552,"No:2, 4&5,Gee Gee Electronics center Narasingapuram, Ritchie St, Mount Road, electronics market, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/PC+MART/data=!4m7!3m6!1s0x3a52677a3aa20d1b:0x27d70f62296c216a!8m2!3d13.0689538!4d80.2711709!16s%2Fg%2F11lhdlnb0c!19sChIJGw2iOnpnUjoRaiFsKWIP1yc?authuser=0&hl=en&rclk=1
Ritchie Street Electronics Hub,Electronics store,Functioning,4.2,No Specified,"Shop No.B-11, Ram Lakhan Chambers, 24, Meeran Sahib St, Chindatripet, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Ritchie+Street+Electronics+Hub/data=!4m7!3m6!1s0x3a52661b62ed2937:0xb8970026f3f10338!8m2!3d13.0693626!4d80.2707216!16s%2Fg%2F1v6p78pb!19sChIJNyntYhtmUjoROAPx8yYAl7g?authuser=0&hl=en&rclk=1
R & D Infoserve,Computer repair service,Not Specified,Not Specified,099404 28882,"Rustagi Complex, No-6, Mount Road, Seeyal Amman Koil Street, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/R+%26+D+Infoserve/data=!4m7!3m6!1s0x3a5266035453a7cf:0x9e8be1b96707a0c0!8m2!3d13.0708943!4d80.271549!16s%2Fg%2F1ptx90sdw!19sChIJz6dTVANmUjoRwKAHZ7nhi54?authuser=0&hl=en&rclk=1
Access Computers,Computer store,Functioning,4.4,044 4512 0027,"Ground Floor, #17,G4, Nakoda Plaza, Narasingapuram St, Mount Road, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Access+Computers/data=!4m7!3m6!1s0x3a52661c9db8fd0b:0xdd1dc26e108218b7!8m2!3d13.0691322!4d80.2710242!16s%2Fg%2F1tdh6wh_!19sChIJC_24nRxmUjoRtxiCEG7CHd0?authuser=0&hl=en&rclk=1
Sathya Solution,Computer accessories store,Functioning,4.5,093812 18111,"Sathya Complex, 2/3, Wallers Rd, Mount Road, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Sathya+Solution/data=!4m7!3m6!1s0x3a52678ac445926b:0x56fdfdffbb163299!8m2!3d13.0701138!4d80.272327!16s%2Fg%2F11k735ykmh!19sChIJa5JFxIpnUjoRmTIWu__9_VY?authuser=0&hl=en&rclk=1
Shreem Tech - Laptop Services in Chennai,Computer repair service,Functioning,4.3,093840 00888,"No.25, Pycrofts Rd, Police Quarters, Triplicane, Chennai, Tamil Nadu 600005",https://www.google.com/maps/place/Shreem+Tech+-+Laptop+Services+in+Chennai/data=!4m7!3m6!1s0x3a52696c3a8a0d49:0xc604bf49d983e8f3!8m2!3d13.0582104!4d80.2768351!16s%2Fg%2F11n3359sm7!19sChIJSQ2KOmxpUjoR8-iD2Um_BMY?authuser=0&hl=en&rclk=1
CHIP TECH LAPTOP SERVICE CENTER,Computer service,Not Specified,4.4,No Specified,"New No 24/32, Old No 33, Nawab Habibullah Complex, Wallers Rd, basement, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/CHIP+TECH+LAPTOP+SERVICE+CENTER/data=!4m7!3m6!1s0x3a52664c1cb005d3:0xec05597869f97e0d!8m2!3d13.0701849!4d80.2709411!16s%2Fg%2F11ggmpf1pq!19sChIJ0wWwHExmUjoRDX75aXhZBew?authuser=0&hl=en&rclk=1
Axesys Infotech,Computer repair service,Functioning,4.4,090877 18884,"No. 18, Fourth Floor, Landmark:, Laptop Spares, Accessories, in Chennai, Wallers Rd, opp. to Canara Bank, Mount Road, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Axesys+Infotech/data=!4m7!3m6!1s0x3a525c6254bbff95:0xe25da7d44531a2e0!8m2!3d13.0702222!4d80.269582!16s%2Fg%2F11bbyhf6b2!19sChIJlf-7VGJcUjoR4KIxRdSnXeI?authuser=0&hl=en&rclk=1
K.K. Computers,Computer store,Functioning,3.9,099404 32185,"Old No. 20, New No. 41, R.A. Complex, Basement, Near Casino Theatre, Meeran Sahib St, Mount Road, Anna Salai, Triplicane, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/K.K.+Computers/data=!4m7!3m6!1s0x3a52661b7ae51c2b:0x5a930a3fe8404362!8m2!3d13.068473!4d80.270592!16s%2Fg%2F1pxwv6yyl!19sChIJKxzlehtmUjoRYkNA6D8Kk1o?authuser=0&hl=en&rclk=1
sai computers,Electronics store,Functioning,4.2,098403 63555,"Old No.32, New.29 Wallers road, Ritchie St, near Canara Bank, Mount Road, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/sai+computers/data=!4m7!3m6!1s0x3a52661c87669417:0x41b2bf1d5446b488!8m2!3d13.0702261!4d80.2701591!16s%2Fg%2F1hm4cgz3c!19sChIJF5RmhxxmUjoRiLRGVB2_skE?authuser=0&hl=en&rclk=1
HAFSA IT SOLUTIONS,Computer store,Functioning,4.9,098847 79884,"B8, Ground Floor, Nagappa Complex, 10/34, Narasingapuram St, near to Nakoda Complex, Mount Road, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/HAFSA+IT+SOLUTIONS/data=!4m7!3m6!1s0x3a52671798fa7df1:0x8adf1de9a94ebca1!8m2!3d13.0686172!4d80.2708684!16s%2Fg%2F11rq9dnpn9!19sChIJ8X36mBdnUjoRobxOqekd34o?authuser=0&hl=en&rclk=1
Rx Solutions,Computer accessories store,Functioning,4.7,080 4116 1415,"Kalyan Trade Centre, Shop No-17, 3rd floor, Wallers Rd, opp. to Canara Bank, Mount Road, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Rx+Solutions/data=!4m7!3m6!1s0x3a52661b583f69c5:0x6ea04dba91135f8c!8m2!3d13.0702213!4d80.2695476!16s%2Fg%2F11d_tztvzt!19sChIJxWk_WBtmUjoRjF8TkbpNoG4?authuser=0&hl=en&rclk=1
Sethia Infotech,Computer store,Functioning,3.7,044 4385 6353,"31 WALLERS ROAD, 1ST FLOOR chordia complex, Ritchie St, Mount Road, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Sethia+Infotech/data=!4m7!3m6!1s0x3a52661b626e700b:0x6688c4dc306fd6e8!8m2!3d13.070185!4d80.27092!16s%2Fg%2F1tdzpk7l!19sChIJC3BuYhtmUjoR6NZvMNzEiGY?authuser=0&hl=en&rclk=1
